date,content,source,user name,followers,handle,location,country,link,tags,replies,reposts,likes,views,included url
2025-01-02,"CHRYSALIS-2 Cohort A: amivantamab + lazertinib in #EGFR NSCLC after osimertinib and chemotherapy 
@JTOonline
 (n=162). BICR RR 35%, CBR 58%, DOR 8.3m, PFS 4.5m, OS 14.8m, and CNS efficacy noted. AEs included rash in 81% (G3 10%), paronychia in 52%.",x.com,Stephen V Liu,25700,@StephenVLiu,"Georgetown, Washinton DC",United States,https://x.com/StephenVLiu/status/1874802825588556073,#EGFR,5,39,84,7900,https://www.jto.org/article/S1556-0864(24)02550-4/fulltext
2025-01-07,"Hearing about an OS benefit for our pts always gives me Mariposas so great and not unexpected news based on prior OS data (minor note though that very few in control arm got ami on progression)

Also impressed by major change in resistance pattern with reduced egfr/met driven resistance delivering a true precision combo!

So definitely an option that now should be discussed and will be right one for an expanding pool of pts w better tox mitigation/SQ version",x.com,Balazs Halmos,8438,@BalazsHalmosMD,"Ridgefield, CT",United States,https://x.com/BalazsHalmosMD/status/1876635677678268465,,1,0,21,1958,
2025-01-14,"How to reduce toxicity with amivantamab - phase II COCOON trial meets primary endpoint. Proactive prophylactic dermatologic regimen reduced skin and nail toxicity. Doxycycline po bid, clindamycin topical, chlorhexidine wash, ceramides-based moisturizer",x.com,Stephen V Liu,25700,@StephenVLiu,"Georgetown, Washinton DC",United States,https://x.com/StephenVLiu/status/1879243170682376360,,1,44,91,7000,https://innovativemedicine.jnj.com/newsroom/cocoon-study-meets-primary-endpoint-demonstrating-statistically-significant-and-clinically-meaningful-reduction-in-dermatologic-reactions-with-easy-to-use-prophylactic-regimen-for-patients-with-egfr-mutated-nsclc
2025-01-16,"What are the clinical implications of the MARIPOSA trial meeting its OS endpoint?

Don't miss this interview with 
@StephenVLiu
 of 
@Georgetown
, 
@LombardiCancer
, who joined us to share his insights. 

Watch now: https://buff.ly/4h2Yw3l 

#NSCLC #lcsm #EGFR",x.com,Lung Cancers Today,311,@Lung_Cancers,,,https://x.com/Lung_Cancers/status/1880036314159952128,#NSCLC #lcsm #EGFR,0,6,15,1300,https://docwirenews.com/post/stephen-liu-md-weighs-in-on-mariposa-overall-survival-data
2025-01-07,"Mariposa shows significant  OS  benifit . Median OS Improved by more than one year. Press release.  Considering toxicity of Amivantamab plus Lazertinib,  now with OS data, will u change the practice? It will be intresting to see final data once presented. 
@5_utr
 
@FordePatrick
 
@PatelOncology
 
@RManochakian
 
@OncoAlert
 
@OncBrothers
 
@Larvol
 
@brunolarvol
 
@BalazsHalmosMD
 
@BertrandBio",x.com,Dr Amol Akhade,6158,@SuyogCancer,,Mumbai,https://x.com/SuyogCancer/status/1876627083377484262,,2,8,34,8112,
2025-01-12,"Targeting #MET amp was most common and most successful but the variability in duration of benefit is consistent with my experience. When resistance is polyclonal, targeting one population won't give durability. MARIPOSA2 still the standard here, imo.",x.com,Stephen V Liu,25700,@StephenVLiu,"Georgetown, Washinton DC",United States,https://x.com/StephenVLiu/status/1878416305545482670, #MET,1,5,19,1368,https://academic.oup.com/oncolo/advance-article/doi/10.1093/oncolo/oyae312/7933219?searchresult=1&login=true
2025-01-07,"@OncoAlert
 Hot off the press. #PressRelease by 
@JNJNews:
#Mariposa Study of #Amivantamab + #Lazertinib vs #Osimertinib in 1st line Tx of #EGFR+ Advanced Non-Small Cell #LungCancer shows statistically significant in #OverallSurvival of > 1 year. 
https://jnj.com/media-center/press-releases/rybrevant-amivantamab-vmjw-plus-lazcluze-lazertinib-shows-statistically-significant-and-clinically-meaningful-improvement-in-overall-survival-versus-osimertinib",x.com,"Rami Manochakian MD, FASCO CancerEducation",3474,@RManochakian,"Jacksonville, FL",United States,https://x.com/RManochakian/status/1876635172315275616,"#PressRelease, #Mariposa, #Amivantamab, #Lazertinib, #Osimertinib, #EGFR, #LungCancer , OverallSurvival",5,11,45,9823,https://www.jnj.com/media-center/press-releases/rybrevant-amivantamab-vmjw-plus-lazcluze-lazertinib-shows-statistically-significant-and-clinically-meaningful-improvement-in-overall-survival-versus-osimertinib
2025-01-21,"European Commission approves LAZCLUZE® (lazertinib) in combination with #RYBREVANT®(#amivantamab) for the first-line treatment of patients with EGFR-mutated advanced non-small cell lung cancer 

$JNJ $GMAB #Genmab #EMA #NSCLC",x.com,E Lambrechts,333,@EgidiusLambrech,,,https://x.com/EgidiusLambrech/status/1881641463416820204,"#amivantamab,  #RYBREVANT",0,4,7,1379,
2025-01-18,"Phase II COCOON trial suggests effective strategies to significantly reduce skin and nail toxicities associated with #Amivantamab in #EGFR mut #NSCLC using a dermatologic prophylaxis regimen, with doxycycline, topical clindamycin, chlorhexidine wash, ceramide-based moisturizers",x.com,Luca Lucente,95,@Dr_LucaLucente,,Italy,https://x.com/Dr_LucaLucente/status/1880649342719340968,"#NSCLC, #Amivantamab, #EGFR ",0,0,1,283,
2025-01-14,"COCOON study meets primary endpoint demonstrating statistically significant and clinically meaningful reduction in dermatologic reactions with easy-to-use prophylactic regimen for patients with EGFR-mutated NSCLC https://innovativemedicine.jnj.com/newsroom/cocoon-study-meets-primary-endpoint-demonstrating-statistically-significant-and-clinically-meaningful-reduction-in-dermatologic-reactions-with-easy-to-use-prophylactic-regimen-for-patients-with-egfr-mutated-nsclc 
@EGFRResisters
 
@EgfrUk
 
@Exon20Group",x.com,Aɴᴛᴏɴɪᴏ Pᴀssᴀʀᴏ,6687,@APassaroMD,,Italy,https://x.com/APassaroMD/status/1879159526445945301,,1,23,63,4213,https://innovativemedicine.jnj.com/newsroom/cocoon-study-meets-primary-endpoint-demonstrating-statistically-significant-and-clinically-meaningful-reduction-in-dermatologic-reactions-with-easy-to-use-prophylactic-regimen-for-patients-with-egfr-mutated-nsclc 
2025-01-17,"Synapse: Your Connection to our MSK Authors
Meet: June-Koo Lee 
@jakelee0711
 

A phase 2 study of amivantamab plus lazertinib in patients with EGFR-mutant lung cancer and active central nervous system disease

#LungCancerResearch #Phase2Trial
#Amivantamab #EGFRMutantLungCancer #CNSInvolvement #TargetedTherapies

https://synapse.mskcc.org/synapse/works/218732",x.com,MSK Library,2920,@MSKLibrary,"New York, NY",United States,https://x.com/MSKLibrary/status/1880326948515193194,"#LungCancerResearch, #Phase2Trial, #Amivantamab, #EGFRMutantLungCancer, #CNSInvolvement, #TargetedTherapies",0,0,3,173,https://synapse.mskcc.org/synapse/works/218732
